knowledge_profile_id,raw_disease,disease,raw_hindi_name,hindi_name,raw_marathi_name,marathi_name,raw_symptoms,symptoms,raw_diagnosis_and_tests,diagnosis_and_tests,raw_symptom_severity,symptom_severity,raw_duration_of_treatment,duration_of_treatment,raw_medical_history,medical_history,raw_current_medications,current_medications,raw_risk_factors,risk_factors,raw_environmental_factors,environmental_factors,raw_sleep_patterns,sleep_patterns,raw_stress_levels,stress_levels,raw_physical_activity_levels,physical_activity_levels,raw_family_history,family_history,raw_dietary_habits,dietary_habits,raw_allergies_food_env,allergies_food_env,raw_seasonal_variation,seasonal_variation,raw_age_group,age_group,raw_gender,gender,raw_occupation_and_lifestyle,occupation_and_lifestyle,raw_cultural_preferences,cultural_preferences,raw_herbal_alternative_remedies,herbal_alternative_remedies,raw_ayurvedic_herbs,ayurvedic_herbs,raw_formulation,formulation,raw_doshas,doshas,raw_constitution_prakriti,constitution_prakriti,raw_diet_and_lifestyle_recommendations,diet_and_lifestyle_recommendations,raw_yoga_and_physical_therapy,yoga_and_physical_therapy,raw_medical_intervention,medical_intervention,raw_prevention,prevention,raw_prognosis,prognosis,raw_complications,complications,raw_patient_recommendations,patient_recommendations,normalized_disease,symptom_tokens,symptom_token_count,dosha_vata,dosha_pitta,dosha_kapha,placeholder_missing_columns
kp_0247,Pneumonia,Pneumonia,न्यूमोनिया,न्यूमोनिया,न्यूमोनिया,न्यूमोनिया,"Cough, fever, chest pain, difficulty breathing","Cough, fever, chest pain, difficulty breathing","Chest X-ray, Blood Tests","Chest X-ray, Blood Tests",Moderate to Severe,moderate to severe,1-2 months,1-2 months,"Respiratory infection, Smoking","Respiratory infection, Smoking","Antibiotics, Supportive care","Antibiotics, Supportive care","Smoking, Weak Immune System, Age","Smoking, Weak Immune System, Age","Smoking, Poor sanitation","Smoking, Poor sanitation",Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of respiratory diseases,Family history of respiratory diseases,"High-protein, Hydrating diet","High-protein, Hydrating diet",None,,"Winter, Rainy season","winter, rainy season",All age groups,all age groups,Both genders,all genders,Sedentary lifestyle,Sedentary lifestyle,Avoids crowded areas,Avoids crowded areas,"Herbal Remedies, Lifestyle Changes","Herbal Remedies, Lifestyle Changes",None specific,None specific,"Garlic (2 cloves), Ginger (2g), Warm water (200ml)","Garlic (2 cloves), Ginger (2g), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Stay hydrated; focus on immune-boosting foods like garlic and ginger.,Stay hydrated; focus on immune-boosting foods like garlic and ginger.,None specific,None specific,"Antibiotics, Supportive Care","Antibiotics, Supportive Care","Quit Smoking, Vaccination","Quit Smoking, Vaccination",Can Be Managed with Medication,Can Be Managed with Medication,"Respiratory Failure, Sepsis","Respiratory Failure, Sepsis","Vaccination, Early Diagnosis","Vaccination, Early Diagnosis",pneumonia,"[""cough"", ""fever"", ""chest pain"", ""difficulty breathing""]",4,1,1,0,"[""allergies_food_env""]"
kp_0248,Pneumonic Plague,Pneumonic Plague,न्यूमोनिक प्लेग,न्यूमोनिक प्लेग,न्यूमोनिक प्लेग,न्यूमोनिक प्लेग,"Fever, chills, swollen lymph nodes, coughing with blood","Fever, chills, swollen lymph nodes, coughing with blood","Blood Tests, Sputum Culture","Blood Tests, Sputum Culture",Severe,severe,2-4 weeks,2-4 weeks,"Bacterial infection, Rural areas","Bacterial infection, Rural areas",Antibiotics,Antibiotics,"Rodent Exposure, Flea Bites","Rodent Exposure, Flea Bites","Poor sanitation, Rodent exposure","Poor sanitation, Rodent exposure",Irregular sleep,irregular sleep,High stress,high stress,Low,low,No family history,No family history,"High-protein, Nutrient-rich diet","High-protein, Nutrient-rich diet",None,,Rainy season,rainy season,Adult,adult,Both genders,all genders,Exposure to rodents,Exposure to rodents,Avoids crowded areas,Avoids crowded areas,None specific,None specific,None specific,None specific,"Neem leaves (5-6), Water (as needed)","Neem leaves (5-6), Water (as needed)",Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,Avoid contact with infected individuals; maintain hygiene and boost immunity.,Avoid contact with infected individuals; maintain hygiene and boost immunity.,None specific,None specific,"Antibiotics, Supportive Care","Antibiotics, Supportive Care","Avoid Rodent Exposure, Flea Protection","Avoid Rodent Exposure, Flea Protection",Can Be Managed with Medication,Can Be Managed with Medication,"Organ Failure, Respiratory Issues","Organ Failure, Respiratory Issues","Early Diagnosis, Antibiotics","Early Diagnosis, Antibiotics",pneumonic plague,"[""fever"", ""chills"", ""swollen lymph nodes"", ""coughing with blood""]",4,0,1,0,"[""allergies_food_env""]"
kp_0249,Polio,Polio,पोलियो,पोलियो,पोलियो,पोलियो,"Muscle weakness, paralysis, fever, headache","Muscle weakness, paralysis, fever, headache","Physical Exam, Virus Detection","Physical Exam, Virus Detection",Severe,severe,Lifelong,Lifelong,"Viral infection, Lack of vaccination","Viral infection, Lack of vaccination","Vaccination, Supportive therapy","Vaccination, Supportive therapy","Poor Sanitation, Lack of Vaccination","Poor Sanitation, Lack of Vaccination","Lack of vaccination, Poor sanitation","Lack of vaccination, Poor sanitation",Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of polio,Family history of polio,"Balanced, High-protein diet","Balanced, High-protein diet",None,,"Summer, Monsoon season","summer, monsoon season",Childhood,childhood,Both genders,all genders,Exposure to unvaccinated populations,Exposure to unvaccinated populations,Avoids contaminated water,Avoids contaminated water,None specific,None specific,None specific,None specific,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Support physical therapy; ensure a protein-rich diet for muscle recovery.,Support physical therapy; ensure a protein-rich diet for muscle recovery.,None specific,None specific,"Vaccination, Supportive Care","Vaccination, Supportive Care","Vaccination, Good Hygiene","Vaccination, Good Hygiene",Can Be Prevented with Vaccination,Can Be Prevented with Vaccination,"Paralysis, Respiratory Issues","Paralysis, Respiratory Issues","Vaccination, Good Hygiene","Vaccination, Good Hygiene",polio,"[""muscle weakness"", ""paralysis"", ""fever"", ""headache""]",4,1,1,0,"[""allergies_food_env""]"
kp_0250,Polycystic Kidney Disease,Polycystic Kidney Disease,पॉलीसिस्टिक किडनी डिजीज,पॉलीसिस्टिक किडनी डिजीज,पॉलीसिस्टिक किडनी रोग,पॉलीसिस्टिक किडनी रोग,"Abdominal pain, high blood pressure, kidney enlargement","Abdominal pain, high blood pressure, kidney enlargement","Ultrasound, Blood Tests, CT Scan","Ultrasound, Blood Tests, CT Scan",Severe,severe,Lifelong,Lifelong,"Genetic disorder, Kidney disease","Genetic disorder, Kidney disease","Blood pressure meds, Dialysis","Blood pressure meds, Dialysis","Family History, Genetic Mutations","Family History, Genetic Mutations",Genetic,Genetic,Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of kidney disease,Family history of kidney disease,"Low-salt, Low-protein diet","Low-salt, Low-protein diet",None,,All seasons,all seasons,Adult,adult,Both genders,all genders,Requires regular monitoring,Requires regular monitoring,Avoids dehydration,Avoids dehydration,None specific,None specific,None specific,None specific,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Focus on kidney health; avoid salty foods and maintain hydration.,Focus on kidney health; avoid salty foods and maintain hydration.,None specific,None specific,"Medications, Kidney Transplant","Medications, Kidney Transplant","Genetic Counseling, Regular Monitoring","Genetic Counseling, Regular Monitoring",Can Be Managed with Treatment,Can Be Managed with Treatment,"Kidney Failure, High Blood Pressure","Kidney Failure, High Blood Pressure","Regular Monitoring, Medication","Regular Monitoring, Medication",polycystic kidney disease,"[""abdominal pain"", ""high blood pressure"", ""kidney enlargement""]",3,1,1,0,"[""allergies_food_env""]"
kp_0251,Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome (PCOS),पॉलिसिस्टिक अंडाशय सिंड्रोम,पॉलिसिस्टिक अंडाशय सिंड्रोम,पॉलिसिस्टिक अंडाशय सिंड्रोम,पॉलिसिस्टिक अंडाशय सिंड्रोम,"Irregular periods, excessive hair growth, weight gain","Irregular periods, excessive hair growth, weight gain","Ultrasound, Blood Tests","Ultrasound, Blood Tests",Moderate to Severe,moderate to severe,Lifelong,Lifelong,"Hormonal imbalance, Menstrual issues","Hormonal imbalance, Menstrual issues","Birth control, Insulin sensitizers","Birth control, Insulin sensitizers","Genetics, Obesity, Hormonal Imbalance","Genetics, Obesity, Hormonal Imbalance","Hormonal imbalance, Obesity","Hormonal imbalance, Obesity",Irregular sleep,irregular sleep,Moderate stress,moderate stress,Low,low,Family history of PCOS,Family history of PCOS,"Low-carb, Nutrient-rich diet","Low-carb, Nutrient-rich diet",None,,All seasons,all seasons,"Adult, Teen","adult, teen",Female,female,Stress management required,Stress management required,Avoids processed foods,Avoids processed foods,"Herbal Remedies, Diet Changes","Herbal Remedies, Diet Changes","Ashwagandha, Shatavari","Ashwagandha, Shatavari","Shatavari (5g), Triphala (1 tsp), Warm water (200ml)","Shatavari (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Pitta-Kapha,Pitta-Kapha,Follow a balanced diet with low glycemic index foods; include regular exercise.,Follow a balanced diet with low glycemic index foods; include regular exercise.,Yoga for Hormonal Balance,Yoga for Hormonal Balance,"Hormonal Therapy, Surgery","Hormonal Therapy, Surgery","Healthy Diet, Regular Exercise","Healthy Diet, Regular Exercise",Can Be Managed with Treatment,Can Be Managed with Treatment,"Infertility, Diabetes, Obesity","Infertility, Diabetes, Obesity","Regular Monitoring, Healthy Lifestyle","Regular Monitoring, Healthy Lifestyle",polycystic ovary syndrome pcos,"[""irregular periods"", ""excessive hair growth"", ""weight gain""]",3,1,1,0,"[""allergies_food_env""]"
kp_0252,Porphyria,Porphyria,पोर्फीरिया,पोर्फीरिया,पोर्फीरिया,पोर्फीरिया,"Abdominal pain, skin sensitivity, neurological issues","Abdominal pain, skin sensitivity, neurological issues","Blood Tests, Urine Tests","Blood Tests, Urine Tests",Severe,severe,Lifelong,Lifelong,"Genetic disorder, Liver dysfunction","Genetic disorder, Liver dysfunction",Symptom-specific therapy,Symptom-specific therapy,"Genetic Mutations, Sun Exposure","Genetic Mutations, Sun Exposure",Genetic,Genetic,Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of porphyria,Family history of porphyria,"Low-fat, High-protein diet","Low-fat, High-protein diet",None,,All seasons,all seasons,Adult,adult,Both genders,all genders,Avoids sunlight,Avoids sunlight,Avoids alcohol,Avoids alcohol,"Herbal Remedies, Diet Changes","Herbal Remedies, Diet Changes",None specific,None specific,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Avoid sunlight exposure; support liver and detox with herbal remedies.,Avoid sunlight exposure; support liver and detox with herbal remedies.,None specific,None specific,"Medications, Lifestyle Modifications","Medications, Lifestyle Modifications","Avoid Sun Exposure, Healthy Diet","Avoid Sun Exposure, Healthy Diet",Can Be Managed with Treatment,Can Be Managed with Treatment,"Skin Sensitivity, Abdominal Pain","Skin Sensitivity, Abdominal Pain","Avoid Sun Exposure, Regular Monitoring","Avoid Sun Exposure, Regular Monitoring",porphyria,"[""abdominal pain"", ""skin sensitivity"", ""neurological issues""]",3,1,1,0,"[""allergies_food_env""]"
kp_0253,Prader-Willi Syndrome,Prader-Willi Syndrome,प्राडर-विली सिंड्रोम,प्राडर-विली सिंड्रोम,प्राडर-विली सिंड्रोम,प्राडर-विली सिंड्रोम,"Insatiable hunger, obesity, developmental delay","Insatiable hunger, obesity, developmental delay","Genetic Testing, Physical Exam","Genetic Testing, Physical Exam",Severe,severe,Lifelong,Lifelong,"Genetic, Developmental delays","Genetic, Developmental delays",Symptom-specific therapy,Symptom-specific therapy,"Genetic Mutations, Family History","Genetic Mutations, Family History",Genetic,Genetic,Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of genetic disorders,Family history of genetic disorders,"Balanced, High-protein diet","Balanced, High-protein diet",None,,All seasons,all seasons,Childhood,childhood,Both genders,all genders,Requires special care,Requires special care,Avoids overstimulation,Avoids overstimulation,None specific,None specific,None specific,None specific,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Focus on managing appetite; support development with balanced nutrition.,Focus on managing appetite; support development with balanced nutrition.,None specific,None specific,"Supportive Care, Medications","Supportive Care, Medications","Genetic Counseling, Early Diagnosis","Genetic Counseling, Early Diagnosis",Can Be Managed with Supportive Care,Can Be Managed with Supportive Care,"Obesity, Developmental Delay","Obesity, Developmental Delay","Early Diagnosis, Regular Monitoring","Early Diagnosis, Regular Monitoring",prader willi syndrome,"[""insatiable hunger"", ""obesity"", ""developmental delay""]",3,1,1,0,"[""allergies_food_env""]"
kp_0254,Primary Amebic Meningoencephalitis,Primary Amebic Meningoencephalitis,प्राइमरी एमेबिक मेनिन्जोएंसेफ्लाइटिस,प्राइमरी एमेबिक मेनिन्जोएंसेफ्लाइटिस,प्राइमरी एमेबिक मेनिन्जोएंसेफ्लाइटिस,प्राइमरी एमेबिक मेनिन्जोएंसेफ्लाइटिस,"Headache, fever, nausea, vomiting, stiff neck","Headache, fever, nausea, vomiting, stiff neck","CSF Analysis, Brain Imaging","CSF Analysis, Brain Imaging",Severe,severe,1-2 weeks,1-2 weeks,"Amoebic infection, Freshwater exposure","Amoebic infection, Freshwater exposure",Antifungal treatments,Antifungal treatments,Exposure to Contaminated Water,Exposure to Contaminated Water,Freshwater exposure,Freshwater exposure,Irregular sleep,irregular sleep,High stress,high stress,Low,low,No family history,No family history,"Hydrating, Low-fat diet","Hydrating, Low-fat diet",None,,"Summer, Rainy season","summer, rainy season","Childhood, Adult","childhood, adult",Both genders,all genders,Avoids contaminated water,Avoids contaminated water,Avoids swimming in warm water,Avoids swimming in warm water,None specific,None specific,None specific,None specific,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Turmeric (1/ 2 tsp), Ginger (2g), Warm water (200ml)",Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,Avoid exposure to contaminated water; maintain good hygiene.,Avoid exposure to contaminated water; maintain good hygiene.,None specific,None specific,"Antifungal Medications, Supportive Care","Antifungal Medications, Supportive Care",Avoid Contaminated Water,Avoid Contaminated Water,Can Be Managed with Medication,Can Be Managed with Medication,"Brain Damage, Death","Brain Damage, Death","Early Diagnosis, Good Hygiene","Early Diagnosis, Good Hygiene",primary amebic meningoencephalitis,"[""headache"", ""fever"", ""nausea"", ""vomiting"", ""stiff neck""]",5,0,1,0,"[""allergies_food_env""]"
kp_0255,Primary Ciliary Dyskinesia,Primary Ciliary Dyskinesia,प्राइमरी सिलीरी डिस्काइनीसिया,प्राइमरी सिलीरी डिस्काइनीसिया,प्राथमिक सिलियरी डिस्काइनीसिया,प्राथमिक सिलियरी डिस्काइनीसिया,"Chronic respiratory infections, sinusitis, cough","Chronic respiratory infections, sinusitis, cough","Genetic Testing, Physical Exam","Genetic Testing, Physical Exam",Severe,severe,Lifelong,Lifelong,"Genetic, Respiratory issues","Genetic, Respiratory issues",Symptom-specific therapy,Symptom-specific therapy,"Genetic Mutations, Family History","Genetic Mutations, Family History",Genetic,Genetic,Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of respiratory issues,Family history of respiratory issues,"High-protein, Antioxidant diet","High-protein, Antioxidant diet",None,,"Winter, Cold season","winter, cold season","Childhood, Adult","childhood, adult",Both genders,all genders,Avoids cold air,Avoids cold air,Avoids respiratory irritants,Avoids respiratory irritants,None specific,None specific,None specific,None specific,"Ginger (2g), Tulsi leaves (2g), Warm water (200ml)","Ginger (2g), Tulsi leaves (2g), Warm water (200ml)","Vata, Kapha","Vata, Kapha",Vata-Kapha,Vata-Kapha,Support lung health; avoid cold air and focus on respiratory health with herbal teas.,Support lung health; avoid cold air and focus on respiratory health with herbal teas.,Breathing Exercises,Breathing Exercises,"Medications, Respiratory Therapy","Medications, Respiratory Therapy","Genetic Counseling, Early Diagnosis","Genetic Counseling, Early Diagnosis",Can Be Managed with Treatment,Can Be Managed with Treatment,"Respiratory Issues, Sinus Infections","Respiratory Issues, Sinus Infections","Regular Monitoring, Respiratory Care","Regular Monitoring, Respiratory Care",primary ciliary dyskinesia,"[""chronic respiratory infections"", ""sinusitis"", ""cough""]",3,1,0,1,"[""allergies_food_env""]"
kp_0256,Prostate Cancer,Prostate Cancer,प्रोस्टेट कैंसर,प्रोस्टेट कैंसर,प्रोस्टेट कॅन्सर,प्रोस्टेट कॅन्सर,"Urinary problems, pelvic pain, difficulty urinating","Urinary problems, pelvic pain, difficulty urinating","PSA Test, Biopsy, Ultrasound","PSA Test, Biopsy, Ultrasound",Severe,severe,Lifelong,Lifelong,"Cancer, Older age","Cancer, Older age","Chemotherapy, Hormone therapy","Chemotherapy, Hormone therapy","Age, Family History, Smoking","Age, Family History, Smoking","Age, Hormonal imbalance","Age, Hormonal imbalance",Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of cancer,Family history of cancer,"Low-fat, High-fiber diet","Low-fat, High-fiber diet",None,,All seasons,all seasons,"Elderly, Adult","elderly, adult",Male,male,Requires regular monitoring,Requires regular monitoring,Avoids alcohol,Avoids alcohol,None specific,None specific,None specific,None specific,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Ashwagandha (5g), Turmeric (1/ 2 tsp), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Include prostate-healthy foods like tomatoes and flaxseeds; reduce stress.,Include prostate-healthy foods like tomatoes and flaxseeds; reduce stress.,None specific,None specific,"Surgery, Radiation, Chemotherapy","Surgery, Radiation, Chemotherapy","Regular Check-ups, Healthy Lifestyle","Regular Check-ups, Healthy Lifestyle",Depends on Stage of Cancer,Depends on Stage of Cancer,"Metastasis, Urinary Problems","Metastasis, Urinary Problems","Early Detection, Healthy Lifestyle","Early Detection, Healthy Lifestyle",prostate cancer,"[""urinary problems"", ""pelvic pain"", ""difficulty urinating""]",3,1,1,0,"[""allergies_food_env""]"
kp_0257,Psoriasis,Psoriasis,सोरायसिस,सोरायसिस,सोरायसिस,सोरायसिस,"Red, inflamed skin, scales, itching","Red, inflamed skin, scales, itching","Physical Exam, Skin Biopsy","Physical Exam, Skin Biopsy",Severe,severe,Lifelong,Lifelong,"Genetic, Autoimmune disorder","Genetic, Autoimmune disorder","Topical treatments, Systemic meds","Topical treatments, Systemic meds","Genetics, Infections, Stress","Genetics, Infections, Stress","Genetic, Environmental factors","Genetic, Environmental factors",Irregular sleep,irregular sleep,Moderate stress,moderate stress,Low,low,Family history of psoriasis,Family history of psoriasis,"Low-carb, Anti-inflammatory diet","Low-carb, Anti-inflammatory diet",None,,"Winter, Cold season","winter, cold season",Adult,adult,Both genders,all genders,Exposure to stress triggers,Exposure to stress triggers,Avoids harsh weather,Avoids harsh weather,"Herbal Remedies, Diet Changes","Herbal Remedies, Diet Changes","Neem, Turmeric, Aloe Vera","Neem, Turmeric, Aloe Vera","Neem leaves (5-6), Water (as needed)","Neem leaves (5-6), Water (as needed)",Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,Focus on anti-inflammatory foods; maintain a skin-care routine with natural products.,Focus on anti-inflammatory foods; maintain a skin-care routine with natural products.,Yoga for Stress Relief,Yoga for Stress Relief,"Topical Treatments, Systemic Medications","Topical Treatments, Systemic Medications","Stress Management, Healthy Diet","Stress Management, Healthy Diet",Can Be Managed with Treatment,Can Be Managed with Treatment,"Skin Lesions, Joint Pain","Skin Lesions, Joint Pain","Regular Monitoring, Stress Management","Regular Monitoring, Stress Management",psoriasis,"[""red"", ""inflamed skin"", ""scales"", ""itching""]",4,0,1,0,"[""allergies_food_env""]"
kp_0258,Pulmonary Hypertension,Pulmonary Hypertension,पल्मोनरी हायपरटेंशन,पल्मोनरी हायपरटेंशन,पल्मोनरी हायपरटेंशन,पल्मोनरी हायपरटेंशन,"Shortness of breath, dizziness, chest pain","Shortness of breath, dizziness, chest pain","Echocardiogram, Blood Tests, CT Scan","Echocardiogram, Blood Tests, CT Scan",Severe,severe,Lifelong,Lifelong,"Respiratory issues, Cardiac issues","Respiratory issues, Cardiac issues","Blood pressure meds, Oxygen therapy","Blood pressure meds, Oxygen therapy","Genetics, Heart Disease, Lung Disease","Genetics, Heart Disease, Lung Disease","Genetic, Heart conditions","Genetic, Heart conditions",Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of heart disease,Family history of heart disease,"Low-salt, High-fiber diet","Low-salt, High-fiber diet",None,,All seasons,all seasons,"Adult, Elderly","adult, elderly",Both genders,all genders,Requires oxygen support,Requires oxygen support,Avoids high altitudes,Avoids high altitudes,None specific,None specific,None specific,None specific,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Turmeric (1/ 2 tsp), Ginger (2g), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Focus on lung and heart health; avoid salty foods and manage stress levels.,Focus on lung and heart health; avoid salty foods and manage stress levels.,Breathing Exercises,Breathing Exercises,"Medications, Oxygen Therapy","Medications, Oxygen Therapy","Regular Monitoring, Healthy Lifestyle","Regular Monitoring, Healthy Lifestyle",Can Be Managed with Medication,Can Be Managed with Medication,"Heart Failure, Organ Damage","Heart Failure, Organ Damage","Regular Monitoring, Healthy Diet","Regular Monitoring, Healthy Diet",pulmonary hypertension,"[""shortness of breath"", ""dizziness"", ""chest pain""]",3,1,1,0,"[""allergies_food_env""]"
kp_0259,Q Fever,Q Fever,क्यू बुखार,क्यू बुखार,क्यू बुखार,क्यू बुखार,"High fever, chills, headache, muscle pain","High fever, chills, headache, muscle pain","Blood Tests, Serology Tests","Blood Tests, Serology Tests",Moderate to Severe,moderate to severe,1-2 months,1-2 months,"Bacterial infection, Animal exposure","Bacterial infection, Animal exposure",Antibiotics,Antibiotics,Contact with Infected Animals,Contact with Infected Animals,"Animal exposure, Rural areas","Animal exposure, Rural areas",Irregular sleep,irregular sleep,Moderate stress,moderate stress,Low,low,No family history,No family history,"Hydrating, High-protein diet","Hydrating, High-protein diet",None,,All seasons,all seasons,Adult,adult,Both genders,all genders,Exposure to animals,Exposure to animals,Avoids exposure to livestock,Avoids exposure to livestock,None specific,None specific,None specific,None specific,"Neem leaves (5-6), Warm water (200ml)","Neem leaves (5-6), Warm water (200ml)",Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,"Rest in a cool, comfortable environment; drink plenty of fluids to stay hydrated.","Rest in a cool, comfortable environment; drink plenty of fluids to stay hydrated.",None specific,None specific,Antibiotics,Antibiotics,"Avoid Animal Contact, Good Hygiene","Avoid Animal Contact, Good Hygiene",Can Be Managed with Medication,Can Be Managed with Medication,"Endocarditis, Respiratory Issues","Endocarditis, Respiratory Issues","Avoid Animal Contact, Good Hygiene","Avoid Animal Contact, Good Hygiene",q fever,"[""high fever"", ""chills"", ""headache"", ""muscle pain""]",4,0,1,0,"[""allergies_food_env""]"
kp_0260,Rabies,Rabies,रेबीज,रेबीज,रेबीज,रेबीज,"Fever, agitation, hallucinations, hydrophobia","Fever, agitation, hallucinations, hydrophobia","Physical Exam, Animal Bite History","Physical Exam, Animal Bite History",Severe,severe,1-2 weeks,1-2 weeks,"Animal bite, Viral infection","Animal bite, Viral infection",Antirabies vaccine,Antirabies vaccine,"Animal Bites, Poor Animal Control","Animal Bites, Poor Animal Control","Animal exposure, Rural areas","Animal exposure, Rural areas",Irregular sleep,irregular sleep,High stress,high stress,Low,low,Family history of rabies,Family history of rabies,"Low-fat, High-protein diet","Low-fat, High-protein diet",None,,All seasons,all seasons,All ages,all ages,Both genders,all genders,Exposure to animals,Exposure to animals,Avoids wild animal contact,Avoids wild animal contact,None specific,None specific,None specific,None specific,"Garlic (2 cloves), Turmeric (1/2 tsp), Warm water (200ml)","Garlic (2 cloves), Turmeric (1/ 2 tsp), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Seek medical attention immediately; support immune health with garlic and turmeric.,Seek medical attention immediately; support immune health with garlic and turmeric.,None specific,None specific,"Rabies Vaccine, Antibodies","Rabies Vaccine, Antibodies","Vaccination, Avoid Animal Bites","Vaccination, Avoid Animal Bites",Can Be Prevented with Vaccination,Can Be Prevented with Vaccination,"Death, Neurological Damage","Death, Neurological Damage","Early Treatment, Avoid Animal Bites","Early Treatment, Avoid Animal Bites",rabies,"[""fever"", ""agitation"", ""hallucinations"", ""hydrophobia""]",4,1,1,0,"[""allergies_food_env""]"
kp_0261,Relapsing Fever,Relapsing Fever,पुनरावृत्ति बुखार,पुनरावृत्ति बुखार,पुनरावृत्ति बुखार,पुनरावृत्ति बुखार,"Recurrent fevers, headaches, muscle aches","Recurrent fevers, headaches, muscle aches","Blood Tests, Blood Smear","Blood Tests, Blood Smear",Severe,severe,1-2 weeks,1-2 weeks,"Bacterial infection, Tick bites","Bacterial infection, Tick bites",Antibiotics,Antibiotics,"Ticks, Infected Animals","Ticks, Infected Animals","Tick exposure, Poor hygiene","Tick exposure, Poor hygiene",Irregular sleep,irregular sleep,High stress,high stress,Low,low,No family history,No family history,"Hydrating, Low-sugar diet","Hydrating, Low-sugar diet",None,,All seasons,all seasons,"Adult, Children","adult, children",Both genders,all genders,Avoids outdoor exposure,Avoids outdoor exposure,Avoids unsanitary areas,Avoids unsanitary areas,None specific,None specific,None specific,None specific,"Neem leaves (5-6), Water (as needed)","Neem leaves (5-6), Water (as needed)",Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,Focus on hydration and rest; avoid contact with infected individuals.,Focus on hydration and rest; avoid contact with infected individuals.,None specific,None specific,Antibiotics,Antibiotics,"Avoid Tick Bites, Good Hygiene","Avoid Tick Bites, Good Hygiene",Can Be Managed with Medication,Can Be Managed with Medication,"Recurrence, Organ Damage","Recurrence, Organ Damage","Regular Monitoring, Avoid Tick Bites","Regular Monitoring, Avoid Tick Bites",relapsing fever,"[""recurrent fevers"", ""headaches"", ""muscle aches""]",3,0,1,0,"[""allergies_food_env""]"
